request_id,source_location_id,destination_location_id,category,urgency_level,weight_estimate_kg,volume_estimate_m3,time_submitted,deadline,status,assigned_truck_id,priority_score
254,10,56,medical,5,392.7,3.93,2025-08-07 09:09:00,2025-08-13 18:00:00,cancelled,15,5.42
255,10,54,recyclable,4,399.8,4.0,2025-08-07 12:59:00,2025-08-14 18:00:00,pending,,4.92
256,12,55,construction,4,442.0,4.42,2025-08-08 11:30:00,2025-08-13 18:00:00,in_progress,16,4.58
257,44,51,industrial,1,236.6,2.37,2025-08-09 07:23:00,2025-08-11 18:00:00,scheduled,9,1.35
258,6,51,household,5,412.5,4.12,2025-08-07 09:12:00,2025-08-12 18:00:00,completed,27,5.81
259,34,53,construction,1,301.7,3.02,2025-08-03 07:04:00,2025-08-14 18:00:00,pending,,1.2
260,25,56,medical,3,85.3,0.85,2025-08-04 14:18:00,2025-08-10 18:00:00,in_progress,5,3.96
261,21,56,construction,3,300.1,3.0,2025-08-06 08:00:00,2025-08-14 18:00:00,scheduled,11,3.82
262,20,54,industrial,5,208.7,2.09,2025-08-05 17:16:00,2025-08-11 18:00:00,completed,25,5.29
263,27,55,commercial,3,450.6,4.51,2025-08-06 12:38:00,2025-08-11 18:00:00,pending,,3.64
264,3,56,commercial,5,163.5,1.64,2025-08-09 15:55:00,2025-08-12 18:00:00,pending,,5.86
265,27,52,recyclable,4,218.5,2.19,2025-08-06 12:51:00,2025-08-13 18:00:00,scheduled,14,4.3
266,39,52,industrial,4,474.4,4.74,2025-08-01 15:27:00,2025-08-13 18:00:00,scheduled,26,4.29
267,15,53,commercial,4,469.2,4.69,2025-08-06 06:32:00,2025-08-15 18:00:00,pending,,4.58
268,45,55,recyclable,5,85.8,0.86,2025-08-04 10:37:00,2025-08-14 18:00:00,in_progress,2,5.76
269,33,54,industrial,4,189.9,1.9,2025-08-01 13:16:00,2025-08-13 18:00:00,completed,12,4.95
270,48,51,industrial,2,275.2,2.75,2025-08-03 18:02:00,2025-08-14 18:00:00,pending,,2.22
271,8,53,medical,4,164.3,1.64,2025-08-03 06:11:00,2025-08-15 18:00:00,pending,,4.08
272,30,54,industrial,3,385.3,3.85,2025-08-04 13:27:00,2025-08-12 18:00:00,completed,10,3.37
273,35,54,industrial,2,152.9,1.53,2025-08-01 12:49:00,2025-08-11 18:00:00,pending,,2.39
274,45,56,commercial,5,259.0,2.59,2025-08-09 13:47:00,2025-08-14 18:00:00,completed,16,5.58
275,9,56,household,5,324.7,3.25,2025-08-06 15:54:00,2025-08-12 18:00:00,cancelled,5,5.35
276,38,54,commercial,3,238.5,2.38,2025-08-03 11:43:00,2025-08-10 18:00:00,completed,10,3.38
277,2,53,commercial,2,335.6,3.36,2025-08-03 10:14:00,2025-08-14 18:00:00,pending,,2.49
278,33,54,construction,1,150.7,1.51,2025-08-07 16:22:00,2025-08-15 18:00:00,cancelled,28,1.73
279,26,56,construction,2,85.8,0.86,2025-08-03 14:27:00,2025-08-12 18:00:00,pending,,2.34
280,35,56,household,4,124.5,1.25,2025-08-03 07:08:00,2025-08-13 18:00:00,completed,11,4.29
281,33,54,commercial,5,371.6,3.72,2025-08-04 12:55:00,2025-08-12 18:00:00,completed,16,5.74
282,2,56,industrial,1,169.0,1.69,2025-08-04 14:05:00,2025-08-15 18:00:00,completed,2,1.79
283,46,56,recyclable,5,386.0,3.86,2025-08-08 07:21:00,2025-08-13 18:00:00,scheduled,16,5.65
284,44,52,commercial,1,95.1,0.95,2025-08-05 13:05:00,2025-08-11 18:00:00,scheduled,27,1.54
285,41,52,household,2,463.5,4.63,2025-08-06 17:26:00,2025-08-10 18:00:00,pending,,2.48
286,49,52,industrial,1,97.6,0.98,2025-08-08 14:51:00,2025-08-11 18:00:00,scheduled,4,1.76
287,38,52,construction,3,134.1,1.34,2025-08-08 13:45:00,2025-08-15 18:00:00,completed,21,3.74
288,39,53,recyclable,3,426.8,4.27,2025-08-02 18:44:00,2025-08-15 18:00:00,completed,27,3.99
289,3,51,household,1,313.9,3.14,2025-08-01 07:08:00,2025-08-15 18:00:00,in_progress,1,1.42
290,49,55,commercial,1,471.0,4.71,2025-08-01 09:10:00,2025-08-15 18:00:00,completed,30,1.52
291,34,55,recyclable,5,371.9,3.72,2025-08-04 08:14:00,2025-08-13 18:00:00,completed,13,5.96
292,50,53,construction,4,213.3,2.13,2025-08-02 18:31:00,2025-08-14 18:00:00,in_progress,11,4.64
293,29,53,recyclable,5,248.8,2.49,2025-08-03 18:34:00,2025-08-10 18:00:00,completed,14,5.8
294,39,52,commercial,3,499.3,4.99,2025-08-08 09:18:00,2025-08-15 18:00:00,completed,19,3.93
295,10,51,household,1,305.8,3.06,2025-08-03 14:42:00,2025-08-14 18:00:00,pending,,1.86
296,25,53,medical,5,277.2,2.77,2025-08-09 13:10:00,2025-08-15 18:00:00,pending,,5.33
297,17,54,commercial,4,176.7,1.77,2025-08-02 08:27:00,2025-08-10 18:00:00,pending,,4.46
298,10,53,medical,4,236.9,2.37,2025-08-06 07:42:00,2025-08-14 18:00:00,cancelled,7,4.77
299,10,52,construction,2,169.3,1.69,2025-08-06 12:30:00,2025-08-12 18:00:00,pending,,2.86
300,39,56,medical,5,135.7,1.36,2025-08-02 17:54:00,2025-08-10 18:00:00,pending,,5.57
